Date, Total tweets, Retweets, Mentions, Direct
22:40:00 10 Apr 2015,1,1
19:58:00 20 Mar 2015,1,1
12:12:00 31 Mar 2015,1,1
16:23:00 06 May 2015,1,1
11:02:00 02 Apr 2015,2,2
22:24:00 04 Apr 2015,1
09:32:00 02 May 2015,1,1
21:41:00 01 Apr 2015,1
09:14:00 05 Mar 2015,1
14:17:00 27 Apr 2015,1,1
23:52:00 31 Mar 2015,1,1
16:26:00 05 Apr 2015,1
15:45:00 16 Apr 2015,1,1
21:31:00 15 Apr 2015,1,1
01:01:00 29 Mar 2015,1,1
18:25:00 27 Apr 2015,1,1
08:33:00 27 Mar 2015,1,1
17:51:00 02 Apr 2015,1
21:55:00 31 Mar 2015,1
16:32:00 18 Mar 2015,1,1
16:14:00 07 Mar 2015,1
21:52:00 13 Apr 2015,1
21:25:00 03 May 2015,1,1
08:50:00 01 May 2015,1,1
13:34:00 03 May 2015,1,1
17:25:00 02 Apr 2015,1,1
20:39:00 06 Apr 2015,1,1
10:18:00 14 Apr 2015,1
20:19:00 02 May 2015,1,1
17:51:00 26 Mar 2015,1,1
14:19:00 05 May 2015,1,1
21:00:00 29 Apr 2015,1,1
00:40:00 29 Mar 2015,2,1
16:08:00 15 Mar 2015,1,1
15:58:00 03 May 2015,1,1
09:00:00 25 Apr 2015,1,1
08:35:00 22 Mar 2015,1,1
13:41:00 05 Apr 2015,1,1
19:29:00 25 Apr 2015,1,1
18:13:00 31 Mar 2015,1,1
11:07:00 04 Apr 2015,1,1
21:05:00 15 Apr 2015,1,1
18:14:00 15 Mar 2015,1,1
15:36:00 04 Apr 2015,1,1
16:44:00 03 Apr 2015,1,1
05:31:00 04 May 2015,1,1
06:33:00 25 Apr 2015,1,1
21:31:00 10 Mar 2015,1,1
07:31:00 02 May 2015,1,1
09:59:00 01 Mar 2015,1,1
21:25:00 08 Apr 2015,1,1
09:37:00 06 Apr 2015,1,1
07:51:00 13 Mar 2015,1,1
16:20:00 28 Feb 2015,1,1
16:38:00 03 May 2015,1,1
20:33:00 30 Apr 2015,1,1
23:20:00 24 Apr 2015,1,1
10:09:00 15 Apr 2015,1,1
22:43:00 27 Apr 2015,1,1
11:11:00 06 Apr 2015,1,1
18:25:00 10 Apr 2015,1,1
14:37:00 17 Mar 2015,1,1
07:40:00 12 Apr 2015,1,1
07:05:00 26 Mar 2015,1,1
16:39:00 03 May 2015,1,1
18:21:00 31 Mar 2015,1
16:02:00 12 Apr 2015,1
11:37:00 10 Mar 2015,1
08:14:00 04 May 2015,1,1
08:13:00 07 Mar 2015,1,1
07:48:00 28 Mar 2015,1,1
20:32:00 09 Apr 2015,1,1
13:32:00 27 Feb 2015,1
20:02:00 09 Apr 2015,1,1
21:28:00 08 Apr 2015,1,1
07:33:00 07 Apr 2015,1
15:49:00 27 Mar 2015,1,1
19:49:00 15 Apr 2015,1,1
14:14:00 04 Mar 2015,1
07:45:00 10 Apr 2015,1,1
09:51:00 01 May 2015,1,1
13:24:00 03 Apr 2015,1,1
09:10:00 05 May 2015,1,1
20:23:00 13 Apr 2015,1,1
10:26:00 25 Mar 2015,2,2
20:10:00 10 Mar 2015,1
21:54:00 27 Feb 2015,1,1
09:45:00 07 Apr 2015,1
10:46:00 03 May 2015,1
08:41:00 05 May 2015,1,1
21:14:00 09 Apr 2015,1,1
18:11:00 25 Mar 2015,1,1
16:58:00 04 Apr 2015,1,1
19:25:00 09 Apr 2015,1
01:26:00 21 Mar 2015,1
16:31:00 30 Mar 2015,1,1
16:49:00 10 Apr 2015,1
21:36:00 13 Apr 2015,1,1
08:01:00 11 Apr 2015,1,1
11:58:00 29 Mar 2015,1
11:41:00 11 Apr 2015,1
19:20:00 12 Apr 2015,1,1
10:33:00 09 Mar 2015,1,1
13:03:00 25 Apr 2015,1,1
10:02:00 19 Mar 2015,1,1
08:37:00 01 Apr 2015,1,1
10:45:00 05 Apr 2015,2
21:09:00 12 Apr 2015,1
10:36:00 14 Apr 2015,1
07:49:00 31 Mar 2015,1,1
06:35:00 30 Apr 2015,1,1
19:57:00 26 Mar 2015,1,1
15:13:00 07 Mar 2015,1
19:01:00 09 Apr 2015,1
20:42:00 25 Apr 2015,1,1
20:39:00 24 Apr 2015,1,1
21:57:00 29 Apr 2015,1,1
22:32:00 30 Apr 2015,1,1
23:14:00 27 Apr 2015,1,1
18:36:00 07 Apr 2015,1
20:45:00 29 Apr 2015,1,1
14:16:00 07 May 2015,1,1
18:06:00 02 May 2015,1,1
07:50:00 06 May 2015,1,1
22:52:00 30 Mar 2015,1,1
15:02:00 07 Apr 2015,1
18:53:00 15 Apr 2015,1
17:12:00 03 Apr 2015,1,1
12:18:00 05 Mar 2015,1,1
20:45:00 07 May 2015,1,1
20:37:00 04 May 2015,1,1
07:40:00 27 Apr 2015,1
06:01:00 07 May 2015,2
08:05:00 03 May 2015,1,1
10:18:00 26 Feb 2015,1,1
07:07:00 26 Apr 2015,1,1
12:11:00 02 May 2015,1,1
08:18:00 03 May 2015,1,1
20:19:00 16 Mar 2015,1,1
18:49:00 25 Mar 2015,1,1
15:20:00 27 Mar 2015,1
15:15:00 28 Mar 2015,1,1
15:04:00 30 Apr 2015,1,1
19:46:00 04 May 2015,1,1
09:52:00 07 May 2015,1,1
17:14:00 05 May 2015,1,1
19:01:00 29 Apr 2015,1
19:14:00 06 May 2015,1,1
12:58:00 15 Apr 2015,1,1
20:44:00 06 May 2015,1,1
15:15:00 24 Apr 2015,1,1
12:47:00 25 Mar 2015,1,1
20:45:00 03 Apr 2015,1,1
22:55:00 31 Mar 2015,1,1
23:15:00 12 Apr 2015,1,1
21:32:00 02 May 2015,1,1
20:22:00 13 Apr 2015,1,1
13:18:00 20 Mar 2015,1,1
21:15:00 09 Apr 2015,1,1
08:00:00 04 May 2015,1,1
12:00:00 10 Apr 2015,1
10:51:00 14 Apr 2015,1,1
11:32:00 26 Apr 2015,1,1
08:14:00 03 Apr 2015,1,1
13:11:00 30 Mar 2015,1,1
20:32:00 18 Mar 2015,1
00:02:00 04 Apr 2015,1,1
13:46:00 06 Apr 2015,1,1
00:10:00 07 Apr 2015,1,1
21:06:00 16 Apr 2015,1,1
00:27:00 19 Mar 2015,1,1
09:19:00 10 Apr 2015,1,1
13:04:00 12 Apr 2015,1,1
08:21:00 03 Apr 2015,1,1
21:47:00 05 May 2015,1,1
21:06:00 01 May 2015,1,1
09:50:00 14 Mar 2015,1,1
22:13:00 04 May 2015,1
21:50:00 06 May 2015,1,1
17:22:00 05 May 2015,1,1
08:39:00 07 Apr 2015,1,1
12:52:00 09 Mar 2015,1,1
22:33:00 30 Apr 2015,1,1
21:59:00 04 May 2015,1,1
11:31:00 08 Apr 2015,1,1
17:01:00 05 Apr 2015,1,1
22:17:00 02 Apr 2015,1,1
21:04:00 03 May 2015,1,1
06:47:00 07 May 2015,1,1
11:17:00 03 Apr 2015,1,1
10:43:00 15 Mar 2015,1,1
14:20:00 06 Mar 2015,1,1
12:07:00 28 Feb 2015,1
22:42:00 29 Apr 2015,1,1
09:00:00 01 Apr 2015,1,1
18:01:00 09 Mar 2015,1,1
08:05:00 10 Apr 2015,1,1
21:44:00 06 Apr 2015,1,1
23:38:00 28 Apr 2015,1,1
08:04:00 03 May 2015,1,1
23:11:00 29 Apr 2015,1,1
22:41:00 09 Mar 2015,1,1
18:44:00 12 Apr 2015,1,1
21:22:00 04 May 2015,1,1
17:03:00 14 Mar 2015,1,1
18:33:00 07 Mar 2015,1,1
22:10:00 02 Apr 2015,1,1
14:42:00 31 Mar 2015,1,1
14:00:00 04 May 2015,1,1
07:06:00 10 Apr 2015,1,1
22:14:00 25 Mar 2015,1
13:00:00 14 Mar 2015,1,1
10:39:00 08 Apr 2015,1
17:35:00 27 Apr 2015,1,1
16:25:00 03 May 2015,1,1
10:01:00 02 Apr 2015,1
10:58:00 15 Mar 2015,1
14:46:00 14 Apr 2015,1
